93,171,-1687,92700
-15,78,-1906,92720
-31,46,-2000,92741
-46,93,-2000,92762
-15,359,-1875,92782
31,421,-1703,92803
109,156,-1609,92834
140,0,-1468,92855
187,-62,-1187,92877
156,-62,-1109,92898
109,-93,-1046,92919
109,-109,-968,92940
31,-31,-921,92961
-125,109,-875,92982
-234,281,-796,93007
-312,375,-812,93028
-390,406,-843,93049
-406,359,-890,93070
-390,296,-984,93090
-421,296,-1046,93112
-406,312,-1015,93133
-328,234,-1000,93154
-265,187,-1015,93175
-203,140,-1046,93196
-125,62,-1078,93217
-62,31,-1093,93238
31,-31,-1046,93260
78,-93,-1078,93281
171,-187,-984,93312
234,-218,-937,93323
296,-218,-875,93348
296,-234,-859,93369
359,-343,-859,93389
468,-500,-843,93420
531,-562,-890,93441
515,-562,-906,93463
500,-453,-890,93483
515,-468,-875,93505
515,-546,-921,93526
546,-578,-937,93547
468,-500,-984,93568
468,-437,-906,93589
468,-359,-953,93610
390,-328,-1031,93631
312,-281,-1078,93653
296,-265,-1078,93678
250,-265,-1125,93699
203,-250,-1031,93721
109,-234,-1015,93742
109,-234,-1140,93763
62,-140,-1187,93784
15,-93,-1109,93804
-31,-93,-984,93825
-93,-156,-1140,93857
-234,-15,-1109,93879
-390,125,-1015,93899
-515,218,-1093,93920
-546,312,-1078,93941
-546,343,-1062,93963
-484,375,-1000,93984
-453,312,-1000,94009
-421,343,-1046,94030
-437,390,-1031,94051
-484,343,-1078,94072
-437,218,-1093,94092
-421,203,-1031,94114
-390,234,-953,94135
-328,171,-953,94166
-296,125,-968,94177
-265,78,-1031,94198
-250,78,-1031,94219
-203,109,-1093,94251
-203,93,-1125,94262
-140,46,-1125,94294
-62,-62,-1109,94315
-46,-93,-1093,94330
46,-140,-1046,94351
62,-140,-1031,94372
62,-171,-1046,94403
125,-218,-1015,94423
234,-343,-984,94444
328,-421,-953,94465
328,-375,-906,94488
296,-406,-1015,94508
406,-578,-1046,94529
546,-734,-1031,94550
609,-750,-1015,94571
562,-656,-1015,94592
546,-546,-968,94613
562,-500,-906,94635
531,-468,-890,94661
437,-390,-984,94681
328,-296,-1046,94703
296,-281,-1000,94724
375,-343,-906,94745
359,-390,-921,94766
296,-390,-1046,94787
171,-265,-1156,94808
109,-203,-1109,94829
125,-296,-1046,94851
31,-250,-1203,94882
-109,-78,-1187,94903
-125,-62,-1078,94924
-78,-109,-1015,94945
-156,-93,-1078,94966
-296,46,-1062,94992
-296,109,-984,95012
-328,125,-968,95033
-390,156,-1031,95054
-421,218,-1046,95074
-484,375,-1015,95096
-531,515,-1000,95117
-531,578,-984,95138
-531,578,-1015,95159
-515,484,-1031,95180
-484,421,-1031,95200
-453,375,-1015,95232
-437,328,-984,95244
-296,171,-1031,95275
-265,93,-1046,95296
-265,109,-1062,95307
-218,46,-1078,95333
-171,15,-1046,95354
-156,15,-1078,95385
-109,-46,-1078,95406
-62,-93,-1062,95426
-15,-140,-1031,95447
31,-171,-1031,95468
78,-171,-1015,95490
140,-203,-953,95511
203,-296,-937,95532
265,-343,-953,95553
296,-375,-968,95574
343,-406,-1000,95595
